SKU,Name,DisplayName,Description,Type,Thickness,ProductType,FranchisePrice,RetailPrice,UOM,TypeCode,ColorCode,ProfileCode,VendorName
PM-0014-0000761,Simply Gallant,Simply Gallant,Simply Gallant 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880050,120,Tafisa
PM-0014-0000760,Simply Gallant,Simply Gallant,Simply Gallant 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880050,120,Tafisa
EB-0014-0000019,Simply Gallant,Simply Gallant,Simply Gallant 1mm,2,0.039,EB,0.38,0.38,LF,1037,880050,120,Tafisa
PM-0014-0000763,Home Sweet Home,Home Sweet Home,Home Sweet Home 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880051,120,Tafisa
PM-0014-0000762,Home Sweet Home,Home Sweet Home,Home Sweet Home 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880051,120,Tafisa
EB-0014-0000020,Home Sweet Home,Home Sweet Home,Home Sweet Home 1mm,2,0.039,EB,0.38,0.38,LF,1037,880051,120,Tafisa
PM-0014-0000765,Black Tie,Black Tie,Black Tie 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880052,120,Tafisa
PM-0014-0000764,Black Tie,Black Tie,Black Tie 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880052,120,Tafisa
EB-0014-0000021,Black Tie,Black Tie,Black Tie 1mm,2,0.039,EB,0.38,0.38,LF,1037,880052,120,Tafisa
PM-0014-0000767,First Dance,First Dance,First Dance 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880053,120,Tafisa
PM-0014-0000766,First Dance,First Dance,First Dance 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880053,120,Tafisa
EB-0014-0000022,First Dance,First Dance,First Dance 1mm,2,0.039,EB,0.38,0.38,LF,1037,880053,120,Tafisa
PM-0014-0000769,Golden Light,Golden Light,Golden Light 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880054,120,Tafisa
PM-0014-0000768,Golden Light,Golden Light,Golden Light 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880054,120,Tafisa
EB-0014-0000023,Golden Light,Golden Light,Golden Light 1mm,2,0.039,EB,0.38,0.38,LF,1037,880054,120,Tafisa
PM-0014-0000771,Brass Band,Brass Band,Brass Band 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880055,120,Tafisa
PM-0014-0000770,Brass Band,Brass Band,Brass Band 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880055,120,Tafisa
EB-0014-0000024,Brass Band,Brass Band,Brass Band 1mm,2,0.039,EB,0.38,0.38,LF,1037,880055,120,Tafisa
PM-0014-0000773,Sunday Stroll,Sunday Stroll,Sunday Stroll 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880056,120,Tafisa
