Description,SKU,Name,DisplayName,FranchisePrice,RetailPrice,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
"HandiWALL Panel, Maple, PVC, Sold per sq ft. - non stocking",AC-0000427,"HandiWALL Panel, Maple, PVC, Sold per sq ft. - non stocking","HandiWALL Panel, Maple, PVC, Sold per sq ft. - non stocking",23.738,54.597,SQFT,AC,HAFELE,792.10.121,4,1,0,0,0
"HandiTRIM Large J Molding, Maple, PVC, Included in Panel Price",AC-0000428,"HandiTRIM Large J Molding, Maple, PVC, Included in Panel Price","HandiTRIM Large J Molding, Maple, PVC, Included in Panel Price",1.178,2.71,LF,AC,HAFELE,792.10.182,4,1,0,0,0
"HandiWALL Panel, Gray, PVC, Sold per Sq ft. - non stocking",AC-0000429,"HandiWALL Panel, Gray, PVC, Sold per Sq ft. - non stocking","HandiWALL Panel, Gray, PVC, Sold per Sq ft. - non stocking",19.154,44.055,SQFT,AC,HAFELE,792.10.521,4,1,0,0,0
"HandiTRIM Large J Molding, Gray, PVC, Included in Panel Price",AC-0000430,"HandiTRIM Large J Molding, Gray, PVC, Included in Panel Price","HandiTRIM Large J Molding, Gray, PVC, Included in Panel Price",1.178,2.71,LF,AC,HAFELE,792.10.582,4,1,0,0,0
"HandiWALL Panel, Taupe, PVC, Sold per Sq ft. non stocking",AC-0000431,"HandiWALL Panel, Taupe, PVC, Sold per Sq ft. non stocking","HandiWALL Panel, Taupe, PVC, Sold per Sq ft. non stocking",19.154,44.055,SQFT,AC,HAFELE,792.10.621,4,1,0,0,0
"HandiTRIM Large J Molding, Taupe, PVC, Included in Panel Price",AC-0000432,"HandiTRIM Large J Molding, Taupe, PVC, Included in Panel Price","HandiTRIM Large J Molding, Taupe, PVC, Included in Panel Price",1.178,2.71,LF,AC,HAFELE,792.10.682,4,1,0,0,0
"HandiACCESSORIES Garden Center, steel 0",AC-0000433,"HandiACCESSORIES Garden Center, steel 0","HandiACCESSORIES Garden Center, steel 0",55.561,127.79,EA,AC,HAFELE,792.12.040,4,1,0,0,0
"HandiACCESSORIES Sports Accessory Rack, steel 0",AC-0000434,"HandiACCESSORIES Sports Accessory Rack, steel 0","HandiACCESSORIES Sports Accessory Rack, steel 0",43.208,99.378,EA,AC,HAFELE,792.13.080,4,1,0,0,0
"HandiACCESSORIES Horizontal Bike Rack, steel 0",AC-0000435,"HandiACCESSORIES Horizontal Bike Rack, steel 0","HandiACCESSORIES Horizontal Bike Rack, steel 0",44.99,103.477,EA,AC,HAFELE,792.14.010,4,1,0,0,0
"Work Bench Accessory Kit, with locking hooks, 12 pieces 0",AC-0000436,"Work Bench Accessory Kit, with locking hooks, 12 pieces 0","Work Bench Accessory Kit, with locking hooks, 12 pieces 0",110.33,253.759,EA,AC,HAFELE,792.15.071,4,1,0,0,0
"HandiTRIM Indented Edge Cap, gray, PVC, 96"" 0",AC-0000437,"HandiTRIM Indented Edge Cap, gray, PVC, 96"" 0","HandiTRIM Indented Edge Cap, black, PVC, 96"" 0",5.621,12.928,EA,AC,HAFELE,792.10.562,4,1,0,0,0
"HandiTRIM Indented Edge Cap, black, PVC, 96"" 0",AC-0000438,"HandiTRIM Indented Edge Cap, black, PVC, 96"" 0","HandiTRIM Indented Edge Cap, gray, PVC, 96"" 0",5.621,12.928,EA,AC,HAFELE,792.10.362,4,1,0,0,0
"HandiTRIM Indented Edge Cap, taupe, PVC, 96"" 0",AC-0000440,"HandiTRIM Indented Edge Cap, taupe, PVC, 96"" 0","HandiTRIM Indented Edge Cap, taupe, PVC, 96"" 0",5.621,12.928,EA,AC,HAFELE,792.10.662,4,1,0,0,0
"HandiTRIM Indented Edge Cap, white, PVC, 96"" 0",AC-0000441,"HandiTRIM Indented Edge Cap, white, PVC, 96"" 0","HandiTRIM Indented Edge Cap, white, PVC, 96"" 0",5.621,12.928,EA,AC,HAFELE,792.10.762,4,1,0,0,0
"HandiTRIM Indented Edge Cap, silver, PVC, 96"" 0",AC-0000442,"HandiTRIM Indented Edge Cap, silver, PVC, 96"" 0","HandiTRIM Indented Edge Cap, silver, PVC, 96"" 0",5.621,12.928,EA,AC,HAFELE,792.10.972,4,1,0,0,0
"HandiTRIM Inside/Outside Corner Molding, black, PVC, 96"" 0",AC-0000443,"HandiTRIM Inside/Outside Corner Molding, black, PVC, 96"" 0","HandiTRIM Inside/Outside Corner Molding, black, PVC, 96"" 0",10.285,23.656,EA,AC,HAFELE,792.11.302,4,1,0,0,0
"HandiTRIM Inside/Outside Corner Molding, white, PVC, 96"" 0",AC-0000444,"HandiTRIM Inside/Outside Corner Molding, white, PVC, 96"" 0","HandiTRIM Inside/Outside Corner Molding, white, PVC, 96"" 0",10.285,23.656,EA,AC,HAFELE,792.11.702,4,1,0,0,0
"HandiACCESSORIES Basket, steel, 3"" x 12"" 0 0",AC-0000445,"HandiACCESSORIES Basket, steel, 3"" x 12"" 0 0","HandiACCESSORIES Basket, steel, 3"" x 12"" 0 0",12.012,27.628,EA,AC,HAFELE,792.12.000,4,1,0,0,0
"HandiACCESSORIES Basket, steel, 8"" x 12"" 0",AC-0000446,"HandiACCESSORIES Basket, steel, 8"" x 12"" 0","HandiACCESSORIES Basket, steel, 8"" x 12"" 0",17.369,39.949,EA,AC,HAFELE,792.12.010,4,1,0,0,0
"HandiACCESSORIES Basket, steel, 12"" x 18"" 0",AC-0000447,"HandiACCESSORIES Basket, steel, 12"" x 18"" 0","HandiACCESSORIES Basket, steel, 12"" x 18"" 0",25.927,59.632,EA,AC,HAFELE,792.12.020,4,1,0,0,0
"HandiACCESSORIES Basket, steel, 12"" x 24"" 0",AC-0000448,"HandiACCESSORIES Basket, steel, 12"" x 24"" 0","HandiACCESSORIES Basket, steel, 12"" x 24"" 0",29.381,67.576,EA,AC,HAFELE,792.12.030,4,1,0,0,0
"HandiACCESSORIES Loop Hook, steel, 4"" 0",AC-0000449,"HandiACCESSORIES Loop Hook, steel, 4"" 0","HandiACCESSORIES Loop Hook, steel, 4"" 0",10.626,24.44,EA,AC,HAFELE,792.12.050,4,1,0,0,0
"HandiACCESSORIES Loop Hook, steel, 8"" 0",AC-0000450,"HandiACCESSORIES Loop Hook, steel, 8"" 0","HandiACCESSORIES Loop Hook, steel, 8"" 0",13.827,31.802,EA,AC,HAFELE,792.12.051,4,1,0,0,0
"HandiACCESSORIES Double Hook, steel, 4"" 0 0",AC-0000451,"HandiACCESSORIES Double Hook, steel, 4"" 0 0","HandiACCESSORIES Double Hook, steel, 4"" 0 0",9.592,22.062,EA,AC,HAFELE,792.12.060,4,1,0,0,0
"HandiACCESSORIES Double Hook, steel, 8"" 0",AC-0000452,"HandiACCESSORIES Double Hook, steel, 8"" 0","HandiACCESSORIES Double Hook, steel, 8"" 0",11.671,26.843,EA,AC,HAFELE,792.12.061,4,1,0,0,0
"HandiACCESSORIES Snap Hook, steel, 1"" 0",AC-0000453,"HandiACCESSORIES Snap Hook, steel, 1"" 0","HandiACCESSORIES Snap Hook, steel, 1"" 0",1.309,3.011,EA,AC,HAFELE,792.12.070,4,1,0,0,0
"HandiACCESSORIES Snap Hook, steel, 4"" 0",AC-0000454,"HandiACCESSORIES Snap Hook, steel, 4"" 0","HandiACCESSORIES Snap Hook, steel, 4"" 0",1.661,3.82,EA,AC,HAFELE,792.12.071,4,1,0,0,0
"HandiACCESSORIES Snap Hook, steel, 6"" 0",AC-0000455,"HandiACCESSORIES Snap Hook, steel, 6"" 0","HandiACCESSORIES Snap Hook, steel, 6"" 0",1.815,4.175,EA,AC,HAFELE,792.12.072,4,1,0,0,0
"HandiACCESSORIES Snap Hook, steel, 8"" 0",AC-0000456,"HandiACCESSORIES Snap Hook, steel, 8"" 0","HandiACCESSORIES Snap Hook, steel, 8"" 0",2.002,4.605,EA,AC,HAFELE,792.12.073,4,1,0,0,0
"HandiACCESSORIES J Hook, steel, 6"" 0",AC-0000457,"HandiACCESSORIES J Hook, steel, 6"" 0","HandiACCESSORIES J Hook, steel, 6"" 0",11.066,25.452,EA,AC,HAFELE,792.12.080,4,1,0,0,0
"HandiACCESSORIES Long Tool Bar with Hooks, steel, 24"" 0",AC-0000458,"HandiACCESSORIES Long Tool Bar with Hooks, steel, 24"" 0","HandiACCESSORIES Long Tool Bar with Hooks, steel, 24"" 0",27.918,64.211,EA,AC,HAFELE,792.12.090,4,1,0,0,0
"HandiACCESSORIES S Hook, steel 0",AC-0000459,"HandiACCESSORIES S Hook, steel 0","HandiACCESSORIES S Hook, steel 0",6.831,15.711,EA,AC,HAFELE,792.13.000,4,1,0,0,0
"HandiACCESSORIES Double Utility Hook, steel 0",AC-0000460,"HandiACCESSORIES Double Utility Hook, steel 0","HandiACCESSORIES Double Utility Hook, steel 0",11.495,26.439,EA,AC,HAFELE,792.13.010,4,1,0,0,0
"HandiACCESSORIES Garment Hook, steel, 6 pack 0",AC-0000461,"HandiACCESSORIES Garment Hook, steel, 6 pack 0","HandiACCESSORIES Garment Hook, steel, 6 pack 0",7.172,16.496,EA,AC,HAFELE,792.13.020,4,1,0,0,0
"HandiACCESSORIES Shelf, steel, 14"" x 24"" 0",AC-0000462,"HandiACCESSORIES Shelf, steel, 14"" x 24"" 0","HandiACCESSORIES Shelf, steel, 14"" x 24"" 0",29.458,67.753,EA,AC,HAFELE,792.13.030,4,1,0,0,0
"HandiACCESSORIES Shelf, steel, 14"" x 48"" 0",AC-0000463,"HandiACCESSORIES Shelf, steel, 14"" x 48"" 0","HandiACCESSORIES Shelf, steel, 14"" x 48"" 0",46.838,107.727,EA,AC,HAFELE,792.13.040,4,1,0,0,0
"HandiACCESSORIES Shoe Rack, steel, 13"" x 24"" 0",AC-0000464,"HandiACCESSORIES Shoe Rack, steel, 13"" x 24"" 0","HandiACCESSORIES Shoe Rack, steel, 13"" x 24"" 0",24.2,55.66,EA,AC,HAFELE,792.22.300,4,1,0,0,0
"HandiACCESSORIES Golf Accessory Holder, steel 0",AC-0000465,"HandiACCESSORIES Golf Accessory Holder, steel 0","HandiACCESSORIES Golf Accessory Holder, steel 0",22.605,51.992,EA,AC,HAFELE,792.13.060,4,1,0,0,0
"HandiACCESSORIES Bike Hook, steel, 5"" 0 0",AC-0000466,"HandiACCESSORIES Bike Hook, steel, 5"" 0 0","HandiACCESSORIES Bike Hook, steel, 5"" 0 0",10.89,25.047,EA,AC,HAFELE,792.13.070,4,1,0,0,0
"HandiACCESSORIES Tennis accessory Holder, steel 0",AC-0000467,"HandiACCESSORIES Tennis accessory Holder, steel 0","HandiACCESSORIES Tennis accessory Holder, steel 0",21.945,50.474,EA,AC,HAFELE,792.13.090,4,1,0,0,0
"HandiACCESSORIES Fishing Rod Holder, steel 0",AC-0000468,"HandiACCESSORIES Fishing Rod Holder, steel 0","HandiACCESSORIES Fishing Rod Holder, steel 0",24.541,56.444,EA,AC,HAFELE,792.14.000,4,1,0,0,0
"HandiACCESSORIES Ski Rack, steel 0",AC-0000469,"HandiACCESSORIES Ski Rack, steel 0","HandiACCESSORIES Ski Rack, steel 0",11.671,26.843,EA,AC,HAFELE,792.14.020,4,1,0,0,0
"HandiACCESSORIES Large Mesh Storage Basket, steel, mesh 0",AC-0000470,"HandiACCESSORIES Large Mesh Storage Basket, steel, mesh 0","HandiACCESSORIES Large Mesh Storage Basket, steel, mesh 0",60.049,138.113,EA,AC,HAFELE,792.14.030,4,1,0,0,0
"HandiACCESSORIES 9 Tilt Bin Storage Unit, plastic 0",AC-0000471,"HandiACCESSORIES 9 Tilt Bin Storage Unit, plastic 0","HandiACCESSORIES 9 Tilt Bin Storage Unit, plastic 0",15.642,35.977,EA,AC,HAFELE,792.14.050,4,1,0,0,0
"HandiACCESSORIES 6 Tilt Bin Storage Unit, plastic 0",AC-0000472,"HandiACCESSORIES 6 Tilt Bin Storage Unit, plastic 0","HandiACCESSORIES 6 Tilt Bin Storage Unit, plastic 0",26.103,60.037,EA,AC,HAFELE,792.14.051,4,1,0,0,0
"HandiACCESSORIES Screwdriver Rack, steel 0",AC-0000473,"HandiACCESSORIES Screwdriver Rack, steel 0","HandiACCESSORIES Screwdriver Rack, steel 0",7.898,18.165,EA,AC,HAFELE,792.14.060,4,1,0,0,0
"HandiACCESSORIES Magnetic Tool Bar, steel, 13"" 0",AC-0000474,"HandiACCESSORIES Magnetic Tool Bar, steel, 13"" 0","HandiACCESSORIES Magnetic Tool Bar, steel, 13"" 0",17.545,40.354,EA,AC,HAFELE,792.14.070,4,1,0,0,0
"HandiACCESSORIES Magnetic Tool Bar, steel, 24"" 0 0",AC-0000475,"HandiACCESSORIES Magnetic Tool Bar, steel, 24"" 0 0","HandiACCESSORIES Magnetic Tool Bar, steel, 24"" 0 0",24.112,55.458,EA,AC,HAFELE,792.14.071,4,1,0,0,0
"HandiACCESSORIES Multi-Purpose Roll Holder, steel 0",AC-0000476,"HandiACCESSORIES Multi-Purpose Roll Holder, steel 0","HandiACCESSORIES Multi-Purpose Roll Holder, steel 0",8.91,20.493,EA,AC,HAFELE,792.14.080,4,1,0,0,0
"HandiACCESSORIES Paper Towel Holder, steel 0",AC-0000477,"HandiACCESSORIES Paper Towel Holder, steel 0","HandiACCESSORIES Paper Towel Holder, steel 0",6.831,15.711,EA,AC,HAFELE,792.14.090,4,1,0,0,0
"HandiACCESSORIES Utility Bin, plastic, gray 0",AC-0000478,"HandiACCESSORIES Utility Bin, plastic, gray 0","HandiACCESSORIES Utility Bin, plastic, gray 0",3.025,6.958,EA,AC,HAFELE,792.14.540,4,1,0,0,0
"HandiACCESSORIES Utility Bin, plastic, taupe 0",AC-0000479,"HandiACCESSORIES Utility Bin, plastic, taupe 0","HandiACCESSORIES Utility Bin, plastic, taupe 0",3.025,6.958,EA,AC,HAFELE,792.14.640,4,1,0,0,0
"HandiACCESSORIES Locking Accessory Clip , steel, black 0",AC-0000480,"HandiACCESSORIES Locking Accessory Clip , steel, black 0","HandiACCESSORIES Locking Accessory Clip , steel, black 0",2.244,5.161,EA,AC,HAFELE,792.15.300,4,1,0,0,0
Garage Leg Leveler Black 4/Set,AC-0000481,Garage Leg Leveler Black 4/Set,Garage Leg Leveler Black 4/Set,5.354,18.47,EA,HW,HAFELE,635.06.009,6,1,0,0,0
Garage Leg Mntg Plate Black,AC-0000482,Garage Leg Mntg Plate Black,Garage Leg Mntg Plate Black,23.551,81.251,EA,HW,HAFELE,635.06.015,6,1,0,0,0
Garage Leg Thread Insert Black,AC-0000483,Garage Leg Thread Insert Black,Garage Leg Thread Insert Black,4.019,13.867,EA,HW,HAFELE,635.06.026,6,1,0,0,0
Garage Leg Tube Brush Steel,AC-0000484,Garage Leg Tube Brush Steel,Garage Leg Tube Brush Steel,13.024,44.933,LF,HW,HAFELE,635.20.066,6,1,0,0,0
GARGE LEG TUBE BLK MATTE,AC-0000485,GARGE LEG TUBE BLK MATTE,GARGE LEG TUBE BLK MATTE,5.786,19.962,LF,HW,HAFELE,635.20.368,6,1,0,0,0
Garage Leg Tube Pol Chrome,AC-0000486,Garage Leg Tube Pol Chrome,Garage Leg Tube Pol Chrome,11.957,41.252,LF,HW,HAFELE,635.20.266,6,1,0,0,0
Garage Leg 80mm,AC-0000487,Garage Leg 80mm,Garage Leg 80mm,2.816,9.715,EA,HW,HAFELE,637.80.360,6,1,0,0,0
Garage Leg 100mm,AC-0000488,Garage Leg 100mm,Garage Leg 100mm,2.394,8.258,EA,HW,HAFELE,637.80.361,6,1,0,0,0
Garage Leg 120mm,AC-0000489,Garage Leg 120mm,Garage Leg 120mm,3.267,11.271,EA,HW,HAFELE,637.80.362,6,1,0,0,0
Garage Leg 150mm,AC-0000490,Garage Leg 150mm,Garage Leg 150mm,3.3,11.385,EA,HW,HAFELE,637.80.363,6,1,0,0,0
Garage Leg Mounting Base,AC-0000491,Garage Leg Mounting Base,Garage Leg Mounting Base,2.228,7.685,EA,HW,HAFELE,637.79.301,6,1,0,0,0
Gromet - Almond - 60mm,AC-0000492,Gromet - Almond - 60mm,Gromet - Almond - 60mm,1.034,3.567,EA,HW,HAFELE,429.99.020,6,1,0,0,0
Gromet - Black - 60mm,AC-0000493,Gromet - Black - 60mm,Gromet - Black - 60mm,0.946,3.264,EA,HW,HAFELE,429.99.324,6,1,0,0,0
Gromet - Brown - 60mm,AC-0000494,Gromet - Brown - 60mm,Gromet - Brown - 60mm,1.267,4.372,EA,HW,HAFELE,429.99.128,6,1,0,0,0
Gromet - White - 60mm,AC-0000495,Gromet - White - 60mm,Gromet - White - 60mm,0.946,3.264,EA,HW,HAFELE,429.99.726,6,1,0,0,0
Pole Cups Oval - Chrome,AC-0000496,Pole Cups Oval - Chrome,Pole Cups Oval - Chrome,0.267,0.922,EA,HW,HAFELE,803.33.210,6,1,0,0,0
Pole Cups Oval - Nickel,AC-0000497,Pole Cups Oval - Nickel,Pole Cups Oval - Nickel,0.209,0.721,EA,HW,HAFELE,803.33.722,6,1,0,0,0
Hafele BB 10in,AC-0000498,Hafele BB 10in,Hafele BB 10in,2.233,10.272,PR,HW,HAFELE,432.21.970,6,1,0,0,0
Hafele BB 12in,AC-0000499,Hafele BB 12in,Hafele BB 12in,2.242,10.312,PR,HW,HAFELE,432.21.971,6,1,0,0,0
Hafele BB 14in,AC-0000500,Hafele BB 14in,Hafele BB 14in,2.609,12.002,PR,HW,HAFELE,432.21.972,6,1,0,0,0
Hafele BB 16in,AC-0000501,Hafele BB 16in,Hafele BB 16in,3.135,14.421,PR,HW,HAFELE,432.21.973,6,1,0,0,0
Hafele BB 18in,AC-0000502,Hafele BB 18in,Hafele BB 18in,3.28,15.089,PR,HW,HAFELE,432.21.974,6,1,0,0,0
Hafele BB 20in,AC-0000503,Hafele BB 20in,Hafele BB 20in,3.736,17.184,PR,HW,HAFELE,432.21.975,6,1,0,0,0
Hafele BB 22in,AC-0000504,Hafele BB 22in,Hafele BB 22in,4.093,18.828,PR,HW,HAFELE,432.21.976,6,1,0,0,0
Hafele BB 24in,AC-0000505,Hafele BB 24in,Hafele BB 24in,3.674,16.9,PR,HW,HAFELE,432.21.977,6,1,0,0,0
Hafele BB 26in,AC-0000506,Hafele BB 26in,Hafele BB 26in,3.982,18.317,PR,HW,HAFELE,432.21.978,6,1,0,0,0
Hafele BB 28in,AC-0000507,Hafele BB 28in,Hafele BB 28in,5.148,23.681,PR,HW,HAFELE,432.21.979,6,1,0,0,0
HR BB SCREWS,AC-0000508,HR BB SCREWS,HR BB SCREWS,0.019,0.065,EA,HW,HARDWARERESOURCES,8X7160-B,6,1,0,0,0
"KING SLIDE UM SC 9""",AC-0000509,"KING SLIDE UM SC 9""",KING SLIDE UM SC 9in,21.219,73.206,PR,HW,RUGBY,HWK280940,6,1,0,0,0
"KING SLIDE UM SC 12""",AC-0000510,"KING SLIDE UM SC 12""",KING SLIDE UM SC 12in,15.004,51.764,PR,HW,RUGBY,HEK280840,6,1,0,0,0
"KING SLIDE UM SC 15""",AC-0000511,"KING SLIDE UM SC 15""",KING SLIDE UM SC 15in,15.004,51.764,PR,HW,RUGBY,HWK280839,6,1,0,0,0
"KING SLIDE UM SC 18""",AC-0000512,"KING SLIDE UM SC 18""",KING SLIDE UM SC 18in,15.29,52.751,PR,HW,RUGBY,HWK280838,6,1,0,0,0
"KING SLIDE UM SC 21""",AC-0000513,"KING SLIDE UM SC 21""",KING SLIDE UM SC 21in,15.576,53.737,PR,HW,RUGBY,HWK280837,6,1,0,0,0
KING LOCKING DEVICE LEFT,AC-0000514,KING LOCKING DEVICE LEFT,KING LOCKING DEVICE LEFT,0.33,1.139,EA,HW,RUGBY,HWK280835,6,1,0,0,0
KING LOCKING DEVICE RIGHT,AC-0000515,KING LOCKING DEVICE RIGHT,KING LOCKING DEVICE RIGHT,0.33,1.139,EA,HW,RUGBY,HWK280834,6,1,0,0,0
"Blumotion UM 9""",AC-0000516,"Blumotion UM 9""",Blumotion UM 9in,23.419,80.796,PR,HW,LOUIS,B563H2290B,6,1,0,0,0
"Blumotion UM 12""",AC-0000517,"Blumotion UM 12""",Blumotion UM 12in,17.919,61.821,PR,HW,LOUIS,B563H3050B,6,1,0,0,0
"Blumotion UM 15""",AC-0000518,"Blumotion UM 15""",Blumotion UM 15in,17.919,61.821,PR,HW,LOUIS,B563H3810B,6,1,0,0,0
"Blumotion UM 18""",AC-0000519,"Blumotion UM 18""",Blumotion UM 18in,17.666,60.948,PR,HW,LOUIS,B563H4570B,6,1,0,0,0
"Blumotion UM 21""",AC-0000520,"Blumotion UM 21""",Blumotion UM 21in,18.139,62.58,PR,HW,LOUIS,B563H5330B,6,1,0,0,0
Blumotion Locking Device L,AC-0000521,Blumotion Locking Device L,Blumotion Locking Device L,0.968,3.34,EA,HW,LOUIS,BT51.1801.20L,6,1,0,0,0
Blumotion Locking Device R,AC-0000522,Blumotion Locking Device R,Blumotion Locking Device R,0.968,3.34,EA,HW,LOUIS,BT51.1801.20R,6,1,0,0,0
"Hettich 4D 9""",AC-0000523,"Hettich 4D 9""",Hettich 4D 9in,18.898,54.332,PR,HW,LOUIS & CO,HET9209777,6,1,0,0,0
"Hettich 4D 12""",AC-0000524,"Hettich 4D 12""",Hettich 4D 12in,18.777,53.984,PR,HW,LOUIS & CO,HET9209798,6,1,0,0,0
"Hettich 4D 15""",AC-0000525,"Hettich 4D 15""",Hettich 4D 15in,19.03,54.711,PR,HW,LOUIS & CO,HET9209799,6,1,0,0,0
"Hettich 4D 18""",AC-0000526,"Hettich 4D 18""",Hettich 4D 18in,19.206,55.217,PR,HW,LOUIS & CO,HET9209800,6,1,0,0,0
"Hettich 4D 21""",AC-0000527,"Hettich 4D 21""",Hettich 4D 21in,19.503,56.071,PR,HW,LOUIS & CO,HET9209801,6,1,0,0,0
Hettich 4D Clip and Spacer set,AC-0000528,Hettich 4D Clip and Spacer set,Hettich 4D Clip and Spacer set,2.97,8.539,PR,HW,LOUIS & CO,HET9218979,6,1,0,0,0
"Hettich V6 9""",AC-0000529,"Hettich V6 9""",Hettich V6 9in,17.699,50.885,PR,HW,LOUIS & CO,HET9134399,6,1,0,0,0
"Hettich V6 12""",AC-0000530,"Hettich V6 12""",Hettich V6 12in,15.103,43.421,PR,HW,LOUIS & CO,HET9134388,6,1,0,0,0
"Hettich V6 15""",AC-0000531,"Hettich V6 15""",Hettich V6 15in,16.423,47.216,PR,HW,LOUIS & CO,HET9134368,6,1,0,0,0
"Hettich V6 18""",AC-0000532,"Hettich V6 18""",Hettich V6 18in,10.241,29.443,PR,HW,LOUIS & CO,HET9134339,6,1,0,0,0
"Hettich V6 21""",AC-0000533,"Hettich V6 21""",Hettich V6 21in,10.934,31.435,PR,HW,LOUIS & CO,HET9134329,6,1,0,0,0
"Hettich V6 24""",AC-0000534,"Hettich V6 24""",Hettich V6 24in,29.227,84.028,PR,HW,LOUIS & CO,HET91344273,6,1,0,0,0
Hettich L & R Locking set,AC-0000535,Hettich L & R Locking set,Hettich L & R Locking set,0.792,2.277,PR,HW,LOUIS & CO,HET9026839,6,1,0,0,0
TIP ON WING PLATE,AC-0000538,TIP ON WING PLATE,TIP ON WING PLATE,1.52,6.992,EA,HW,LOUIS & CO,B956A1501,6,1,0,0,0
TIP ON SC HINGE 48 HIGH,AC-0000539,TIP ON SC HINGE 48 HIGH,TIP ON SC HINGE 48 HIGH,9.4,43.24,EA,HW,LOUIS & CO,B956A1006,6,1,0,0,0
"HR BB SC 10""",AC-0000540,"HR BB SC 10""",HR BB SC 10in,8.778,30.284,PR,HW,HARDWARE RESOURCES,303-300-10,6,1,0,0,0
"HR BB SC 12""",AC-0000541,"HR BB SC 12""",HR BB SC 12in,9.636,33.244,PR,HW,HARDWARE RESOURCES,303-300-12,6,1,0,0,0
"HR BB SC 14""",AC-0000542,"HR BB SC 14""",HR BB SC 14in,10.461,36.09,PR,HW,HARDWARE RESOURCES,303-300-14,6,1,0,0,0
"HR BB SC 16""",AC-0000543,"HR BB SC 16""",HR BB SC 16in,11.297,38.975,PR,HW,HARDWARE RESOURCES,303-300-16,6,1,0,0,0
"HR BB SC 18""",AC-0000544,"HR BB SC 18""",HR BB SC 18in,12.089,41.707,PR,HW,HARDWARE RESOURCES,303-300-18,6,1,0,0,0
"HR BB SC 20""",AC-0000545,"HR BB SC 20""",HR BB SC 20in,12.914,44.553,PR,HW,HARDWARE RESOURCES,303-300-20,6,1,0,0,0
"HR BB SC 22""",AC-0000546,"HR BB SC 22""",HR BB SC 22in,13.75,47.438,PR,HW,HARDWARE RESOURCES,303-300-22,6,1,0,0,0
"HR BB SC 24""",AC-0000547,"HR BB SC 24""",HR BB SC 24in,14.553,50.208,PR,HW,HARDWARE RESOURCES,303-300-24,6,1,0,0,0
"HR BB SC 26""",AC-0000548,"HR BB SC 26""",HR BB SC 26in,15.378,53.054,PR,HW,HARDWARE RESOURCES,303-300-26,6,1,0,0,0
"HR BB SC 28""",AC-0000549,"HR BB SC 28""",HR BB SC 28in,16.181,55.824,PR,HW,HARDWARE RESOURCES,303-300-28,6,1,0,0,0
"12"" x 17"" x 6"" (6H) CHR",AC-0000550,"12"" x 17"" x 6"" (6H) CHR","12"" x 17"" x 6"" (6H) CHR",26.521,60.998,EA,AC,HAFELE,547.38.212,4,1,0,0,0
"12"" x 17"" x 11"" (11H) CHR",AC-0000551,"12"" x 17"" x 11"" (11H) CHR","12"" x 17"" x 11"" (11H) CHR",31.966,73.522,EA,AC,HAFELE,547.38.216,4,1,0,0,0
"12"" x 17"" x 17"" (16H) CHR",AC-0000552,"12"" x 17"" x 17"" (16H) CHR","12"" x 17"" x 17"" (16H) CHR",39.71,91.333,EA,AC,HAFELE,547.38.218,4,1,0,0,0
"12"" x 23"" x 6"" (6H) CHR",AC-0000553,"12"" x 23"" x 6"" (6H) CHR","12"" x 23"" x 6"" (6H) CHR",31.416,72.257,EA,AC,HAFELE,547.40.212,4,1,0,0,0
"12"" x 23"" x 11"" (11H) CHR",AC-0000554,"12"" x 23"" x 11"" (11H) CHR","12"" x 23"" x 11"" (11H) CHR",35.519,81.694,EA,AC,HAFELE,547.40.216,4,1,0,0,0
"12"" x 23"" x 17"" (16H) CHR",AC-0000555,"12"" x 23"" x 17"" (16H) CHR","12"" x 23"" x 17"" (16H) CHR",41.921,96.418,EA,AC,HAFELE,547.40.218,4,1,0,0,0
"12"" x 29"" x 6"" (6H) CHR",AC-0000556,"12"" x 29"" x 6"" (6H) CHR","12"" x 29"" x 6"" (6H) CHR",32.032,73.674,EA,AC,HAFELE,547.41.212,4,1,0,0,0
"12"" x 29"" x 11"" (11H) CHR",AC-0000557,"12"" x 29"" x 11"" (11H) CHR","12"" x 29"" x 11"" (11H) CHR",41.646,95.786,EA,AC,HAFELE,547.41.216,4,1,0,0,0
"12"" x 29"" x 17"" (16H) CHR",AC-0000558,"12"" x 29"" x 17"" (16H) CHR","12"" x 29"" x 17"" (16H) CHR",48.499,111.548,EA,AC,HAFELE,547.41.218,4,1,0,0,0
"12"" x 17"" x 6"" (6H) WHT",AC-0000559,"12"" x 17"" x 6"" (6H) WHT","12"" x 17"" x 6"" (6H) WHT",23.991,55.179,EA,AC,HAFELE,547.38.712,4,1,0,0,0
"12"" x 17"" x 11"" (11H) WHT",AC-0000560,"12"" x 17"" x 11"" (11H) WHT","12"" x 17"" x 11"" (11H) WHT",31.097,71.523,EA,AC,HAFELE,547.38.716,4,1,0,0,0
"12"" x 17"" x 17"" (16H) WHT",AC-0000561,"12"" x 17"" x 17"" (16H) WHT","12"" x 17"" x 17"" (16H) WHT",34.452,79.24,EA,AC,HAFELE,547.38.718,4,1,0,0,0
"12"" x 23"" x 6"" (6H) WHT",AC-0000562,"12"" x 23"" x 6"" (6H) WHT","12"" x 23"" x 6"" (6H) WHT",25.608,58.898,EA,AC,HAFELE,547.40.712,4,1,0,0,0
