Description,SKU,Name,DisplayName,FranchisePrice,RetailPrice,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
PUL M BRUS CHRO 96M 116.07.429,AC-0000061,PUL M BRUS CHRO 96M 116.07.429,PUL M BRUS CHRO 96M 116.07.429,0.466,2.145,EA,AC,HAFELE,116.07.429,$4.00 ,$1.00 ,0,0,0
PULL M BLACK MATT 102.47.319,AC-0000063,PULL M BLACK MATT 102.47.319,PULL M BLACK MATT 102.47.319,4.653,21.404,EA,AC,HAFELE,102.47.319,$4.00 ,$1.00 ,0,0,0
PULL M BK MAT CRES 117.31.320,AC-0000064,PULL M BK MAT CRES 117.31.320,PULL M BK MAT CRES 117.31.320,0.902,4.149,EA,AC,HAFELE,117.31.320,$4.00 ,$1.00 ,0,0,0
PULL M NI MAT CRES 117.31.628,AC-0000066,PULL M NI MAT CRES 117.31.628,PULL M NI MAT CRES 117.31.628,0.814,3.744,EA,AC,HAFELE,117.31.628,$4.00 ,$1.00 ,0,0,0
PULL S NI MATT CRES 117.31.638,AC-0000067,PULL S NI MATT CRES 117.31.638,PULL S NI MATT CRES 117.31.638,1.694,7.792,EA,AC,HAFELE,117.31.638,4,1,0,0,0
PULL M POL CH CRES 155.99.018,AC-0000068,PULL M POL CH CRES 155.99.018,PULL M POL CH CRES 155.99.018,1.694,7.792,EA,AC,HAFELE,155.99.018,4,1,0,0,0
PULL S POL CHM CRES 155.99.023,AC-0000069,PULL S POL CHM CRES 155.99.023,PULL S POL CHM CRES 155.99.023,1.65,7.59,EA,AC,HAFELE,155.99.023,4,1,0,0,0
PULL M POLIS CROME 121.88.260,AC-0000071,PULL M POLIS CROME 121.88.260,PULL M POLIS CROME 121.88.260,3.854,17.73,EA,AC,HAFELE,121.88.260,4,1,0,0,0
PULL M BR NIC MATT 121.88.662,AC-0000080,PULL M BR NIC MATT 121.88.662,PULL M BR NIC MATT 121.88.662,4.763,21.91,EA,AC,HAFELE,121.88.662,4,1,0,0,0
PULL M WIRE PC 116.09.288,AC-0000083,PULL M WIRE PC 116.09.288,PULL M WIRE PC 116.09.288,1.43,6.578,EA,AC,HAFELE,116.09.288,4,1,0,0,0
PULL M POL CHROME 155.00.931,AC-0000084,PULL M POL CHROME 155.00.931,PULL M POL CHROME 155.00.931,1.43,6.578,EA,AC,HAFELE,155.00.931,4,1,0,0,0
PULL S MATT CH CRES 117.31.418,AC-0000085,PULL S MATT CH CRES 117.31.418,PULL S MATT CH CRES 117.31.418,1.694,7.792,EA,AC,HAFELE,117.31.418,4,1,0,0,0
PULL MATT CHM CRES 117.31.408,AC-0000086,PULL MATT CHM CRES 117.31.408,PULL MATT CHM CRES 117.31.408,1.463,6.73,EA,AC,HAFELE,117.31.408,4,1,0,0,0
PULL WIRE S ORB 116.07.323,AC-0000090,PULL WIRE S ORB 116.07.323,PULL WIRE S ORB 116.07.323,1.43,6.578,EA,AC,HAFELE,116.07.323,4,1,0,0,0
PULL S WIRE NI MATT 116.07.621,AC-0000091,PULL S WIRE NI MATT 116.07.621,PULL S WIRE NI MATT 116.07.621,0.473,2.176,EA,AC,HAFELE,116.07.621,4,1,0,0,0
PULL WIRE SC 116.07.118,AC-0000092,PULL WIRE SC 116.07.118,PULL WIRE SC 116.07.118,0.539,2.479,EA,AC,HAFELE,116.07.118,4,1,0,0,0
PULL M OIL RUB 117.31.323,AC-0000093,PULL M OIL RUB 117.31.323,PULL M OIL RUB 117.31.323,1.901,8.744,EA,AC,HAFELE,117.31.323,4,1,0,0,0
PULL M ORB 128MM 125.67.352,AC-0000094,PULL M ORB 128MM 125.67.352,PULL M ORB 128MM 125.67.352,1.892,8.703,EA,AC,HAFELE,125.67.352,4,1,0,0,0
PULL M OIL RUB BNZ 125.67.351,AC-0000095,PULL M OIL RUB BNZ 125.67.351,PULL M OIL RUB BNZ 125.67.351,1.639,7.539,EA,AC,HAFELE,125.67.351,4,1,0,0,0
PULL M BRSH NI 125.68.051,AC-0000096,PULL M BRSH NI 125.68.051,PULL M BRSH NI 125.68.051,1.914,8.804,EA,AC,HAFELE,125.68.051,4,1,0,0,0
PULL M OIL RUB BNZ 125.68.351,AC-0000097,PULL M OIL RUB BNZ 125.68.351,PULL M OIL RUB BNZ 125.68.351,1.32,6.072,EA,AC,HAFELE,125.68.351,4,1,0,0,0
PULL AMERICANA ORB 125.68.352,AC-0000098,PULL AMERICANA ORB 125.68.352,PULL AMERICANA ORB 125.68.352,2.244,10.322,EA,AC,HAFELE,125.68.352,4,1,0,0,0
PULL BRSH NI 128MM 125.68.052,AC-0000099,PULL BRSH NI 128MM 125.68.052,PULL BRSH NI 128MM 125.68.052,2.574,11.84,EA,AC,HAFELE,125.68.052,4,1,0,0,0
PULL M SS 128MM 102.47.953,AC-0000105,PULL M SS 128MM 102.47.953,PULL M SS 128MM 102.47.953,3.221,14.816,EA,AC,HAFELE,102.47.953,4,1,0,0,0
