Code,DisplayName,Description
0,Clear,This is the glass color
1,Mirror,This is the glass color
2,Frosted,This is the glass color
3,German Clear Antique,This is the glass color
4,Seedy,This is the glass color
5,Slendervue,This is the glass color
6,Smoked,This is the glass color
7,Taffeta,This is the glass color
