SKU,Name,DisplayName,Description,Thickness,RetailPrice,UOF,ProductType,ItemTypeCode,ItemColorCode,ItemProfileCode,VendorName,VendorItemNum
EB-0000166,EB M Rustic Oak 1045,M Rustic Oak,EB M Rustic Oak 1mm LN26,0.039,0.333,LF,EB,1030,110720,1020,UKNOWN,0
EB-0000167,EB Gotta Havit 1045,Gotta Havit,EB GOTTA HAVIT 3M 15/16  5121P,0.118,0.616,LF,EB,3030,129640,1020,UKNOWN,0
EB-0000168,EB Fusion Maple 1040,Fusion Maple,EB FUSION MAP 018 1 5/16 3922,0.018,0.072,LF,EB,1040,126850,1020,UKNOWN,0
EB-0000170,EB Thunderstorm 1030,Thunderstorm,EB THUNDERSTORM 018 15/16 5119,0.018,0.105,LF,EB,1030,165325,1020,UKNOWN,0
EB-0000172,EB Black Hi Gloss 1045,Black,EB BLACK HI GLOSS 15/16 1MM,0.039,0.603,LF,EB,1045,114451,1020,UKNOWN,0
EB-0000173,EB Mahogany 1030,Mahogany,EB MAHOGANY .018 15/16 3645,0.018,0.105,LF,EB,1030,147010,1020,UKNOWN,0
EB-0000174,EB U Zahara 1045,U Zahara,EB U ZAHARA 15/16 1mm,0.039,0.139,LF,EB,1030,167025,1020,UKNOWN,0
EB-0000175,EB U Ember 1045,U Ember,EB U EMBER 15/16 1mm,0.039,0.139,LF,EB,1030,167005,1020,UKNOWN,0
EB-0000176,EB M Nove Daniella 1045,M Noce Daniella,EB M Nove Daniella 1mm LM17,0.039,0.325,LF,EB,1030,110640,1020,UKNOWN,0
EB-0000177,EB M Tuscan Cypress 1045,M Tuscan Cypress,EB M Tuscan Cypress 1mm S072,0.039,0.333,LF,EB,1030,110760,1020,UKNOWN,0
EB-0000178,EB Crackle Crunch 1030,Crackle Crunch,EB CRACKLE CRUNCH 15/16 .018,0.018,0.066,LF,EB,1030,117700,1020,UKNOWN,0
EB-0000179,EB Oatmeal Cookie 1030,Oatmeal Cookie,EB OATMEAL COOKIE 15/16 .018,0.018,0.066,LF,EB,1030,151100,1020,UKNOWN,0
EB-0000180,EB Peach Cobbler 1030,Peach Cobbler,EB PEACH COBBLER 15/16 .018,0.018,0.066,LF,EB,1030,152180,1020,UKNOWN,0
EB-0000181,EB Mocha Almond Fudge 1030,Mocha Almond Fudge,EB MOCHA ALM. FUDGE 15/16 .018,0.018,0.066,LF,EB,1030,147401,1020,UKNOWN,0
EB-0000182,EB BEIGE GRANITE 1030,Beige Granite,EB BEIGE GRANITE .018 15/16 6955,0.018,0.106,LF,EB,1030,114200,1020,UKNOWN,0
EB-0000183,EB M Toasted Espresso 1045,M Toasted Espresso,EB M Toasted Espresso 1mm S071,0.039,0.325,LF,EB,1030,110750,1020,UKNOWN,0
EB-0000185,EB APPEARS LIKATRE 1030,Appears Likatre,EB APPEARS LIKATRE.018 3242,0.018,0.105,LF,EB,1040,123061,1020,UKNOWN,0
EB-0000186,EB GREY 1030,Grey,EB GREY 018 15/16  2422,0.018,0.056,LF,EB,1030,129705,1020,UKNOWN,0
EB-0000188,EB M Vineyard Oak 1045,M Vineyard Oak,EB M Vineyard Oak 1mm LN30,0.039,0.335,LF,EB,1030,110740,1020,UKNOWN,0
EB-0000189,EB WILLOW GREY 3030,Willow Grey,EB WILLOW GREY 3MM 15/16,0.118,0.8,LF,EB,3030,174360,1020,UKNOWN,0
EB-0000190,EB PRISM RED 1030,Prism Red,EB PRISM RED .018 15/16 9075,0.018,0.105,LF,EB,1030,156730,1020,UKNOWN,0
